"Id","Holiday Name","Day","Type","Comments","Holiday Date","State","Country"
1,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Johor,Malaysia
2,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Johor,Malaysia
3,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Johor,Malaysia
4,Birthday of the Sultan of Johor,Wednesday,Regional Holiday,Johor only,2022-03-23,Johor,Malaysia
5,Beginning of Ramadan,Sunday,Regional Holiday,"Johor, Kedah, Malacca",2022-04-03,Johor,Malaysia
6,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Johor,Malaysia
7,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Johor,Malaysia
8,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Johor,Malaysia
9,Hari Raya Aidilfitri Holiday,Wednesday,Regional Holiday,Johor,2022-05-04,Johor,Malaysia
10,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Johor,Malaysia
11,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Johor,Malaysia
12,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Johor,Malaysia
13,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Johor,Malaysia
14,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Johor,Malaysia
15,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Johor,Malaysia
16,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Johor,Malaysia
17,The Sultan of Johor Hol,Saturday,Regional Holiday,Johor only,2022-09-03,Johor,Malaysia
18,Public Holiday,Sunday,Regional Holiday,Johor,2022-09-11,Johor,Malaysia
19,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Johor,Malaysia
20,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Johor,Malaysia
21,Public Holiday,Sunday,Regional Holiday,Johor,2022-10-16,Johor,Malaysia
22,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Johor,Malaysia
23,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Johor,Malaysia
24,Public Holiday,Sunday,Regional Holiday,In conjunction with the 15th General Election,2022-11-20,Johor,Malaysia
25,Public Holiday,Sunday,Regional Holiday,Johor,2022-11-27,Johor,Malaysia
26,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Johor,Malaysia
27,Christmas Day,Sunday,National Holiday,"",2022-12-25,Johor,Malaysia
28,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Johor,Malaysia
29,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Kedah,Malaysia
30,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Kedah,Malaysia
31,Isra and Miraj,Tuesday,Regional Holiday,"Kedah, Perlis, Negeri Sembilan, Terengganu",2022-03-01,Kedah,Malaysia
32,Beginning of Ramadan,Sunday,Regional Holiday,"Johor, Kedah, Malacca",2022-04-03,Kedah,Malaysia
33,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Kedah,Malaysia
34,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Kedah,Malaysia
35,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Kedah,Malaysia
36,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Kedah,Malaysia
37,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Kedah,Malaysia
38,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Kedah,Malaysia
39,Birthday of the Sultan of Kedah,Sunday,Regional Holiday,Kedah only,2022-06-19,Kedah,Malaysia
40,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Kedah,Malaysia
41,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Kedah,Malaysia
42,Hari Raya Haji Holiday,Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Kedah,Malaysia
43,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Kedah,Malaysia
44,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Kedah,Malaysia
45,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Kedah,Malaysia
46,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Kedah,Malaysia
47,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Kedah,Malaysia
48,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Kedah,Malaysia
49,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Kedah,Malaysia
50,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Kedah,Malaysia
51,Christmas Day,Sunday,National Holiday,"",2022-12-25,Kedah,Malaysia
52,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Kedah,Malaysia
53,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Kelantan,Malaysia
54,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Kelantan,Malaysia
55,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Kelantan,Malaysia
56,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Kelantan,Malaysia
57,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Kelantan,Malaysia
58,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Kelantan,Malaysia
59,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Kelantan,Malaysia
60,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Kelantan,Malaysia
61,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Kelantan,Malaysia
62,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Kelantan,Malaysia
63,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Kelantan,Malaysia
64,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Kelantan,Malaysia
65,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Kelantan,Malaysia
66,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Kelantan,Malaysia
67,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Kelantan,Malaysia
68,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Kelantan,Malaysia
69,Birthday of the Sultan of Kelantan,Friday,Regional Holiday,Kelantan only,2022-11-11,Kelantan,Malaysia
70,Birthday of the Sultan of Kelantan Holiday,Saturday,Regional Holiday,Kelantan only. Second day,2022-11-12,Kelantan,Malaysia
71,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Kelantan,Malaysia
72,Public Holiday,Sunday,Regional Holiday,In conjunction with the 15th General Election,2022-11-20,Kelantan,Malaysia
73,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Kelantan,Malaysia
74,Christmas Day,Sunday,National Holiday,"",2022-12-25,Kelantan,Malaysia
75,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Kelantan,Malaysia
76,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Kuala Lumpur,Malaysia
77,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Kuala Lumpur,Malaysia
78,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Kuala Lumpur,Malaysia
79,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Kuala Lumpur,Malaysia
80,Federal Territory Day Holiday,Thursday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2022-02-03,Kuala Lumpur,Malaysia
81,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Kuala Lumpur,Malaysia
